Name,Address,State,City,Phone,Email,PPN
Dr Karam Singh Memorial Orthopaedic Hospital And Research Centre,16 Doctor Avenue   Near Khala Mala Chowk   Circular Road,Punjab,Amritsar,0183 - 2573927 / 6534262,drguri@hotmail.com,Yes
Dr Kolwakars Galaxy Hospital,Near Severina Garden,Goa,Goa,0832 - 2266666 / 69,drkolwalkargalaxyhospital@gmail.com,No
Dr Kota Reddy Hospital,Main Raod  Kandakuru  Praksham   Kandukuru,Andhra Pradesh,Prakasam,08598 - 222800,cashless.kotareddyhospital@gmail.com,No
Dr L H Hiranandani Hospital,Hillside Avenue Hiranandani Gardens Powai Mumbai,Maharashtra,Mumbai,022 - 25763333 / 3300,corporate.relation@hiranandanihospital.org,Yes
Dr Laxmans Children Hospital,Main Road  Shapurnagar,Telangana,Hyderabad,040 - 23093903,mvk.mvk2005@gmail.com,Yes
Dr M L Gupta Memorial Centre,B P 5e/4 Railway Road  Nit Faridabad,Haryana,Faridabad,0129 - 2416566 / 4034933 / 4035933 / 4036933,drml.gupta@yahoo.com,Yes
Dr Makan Surgical Maternity And Accident Hospital,Ganganagar  Sangavi  Pune,Maharashtra,Pune,020 - 27281175 / 27280278 / 9822057029,drpmakan@yahoo.co.in,Yes
Dr Malathi Manipal Hospital,45/1  45th Cross  9th Block  Jayanagar,Karnataka,Bengaluru,080 - 40091000,collection.mmh@manipalhospitals.com,Yes
Dr Malwankars Romeen Nursing Home,Gr. Floor  Goutam Dham Gaodevi Road Bhandup,Maharashtra,Mumbai,25942020,romeenmalwankar@gmail.com,Yes
Dr Nairs Hospital,Asramam Kollam,Kerala,Kollam,0474 - 2766180 / 185,insurance@drnairshospital.com,No
Dr NTR Gastro Care Pvt Ltd,29-14-51  Pushpa Hotel Centre  Praksham Road  Vijayawada  Vijayawada,Andhra Pradesh,Vijayawada,0866 - 2485522,harinihospitals@yahoo.com,No
Dr Nukapur Hospital,Sharada Talkies Road  Ksrtc Bus Stand,Karnataka,Kolar,08152 - 320444 / 320555 / 401764,nukapurhospital@gmail.com,No
Dr Paradkars Maternity And Gen Nursing Home,Dipalayabhaskar Colony  Naupada  Thane  Thane,Maharashtra,Thane,022 - 5330 / 25407488,paradkar_g@rediffmail.com,No
Dr Parthasarathy Memorial Hospital,No 20 Shastri Nagar Main Road   Adambakkam,Tamil Nadu,Chennai,9994498683,kpsmemorialhospital@yahoo.com,No
Dr Patils Hospital,Near Hotel Garden  Thana Naka  Thana Naka  Panvel,Maharashtra,Navi Mumbai,022 - 27451717 / 27451217,drpatilhospital92@gmail.com,No
Dr Phadke Hospital,Gaurav Prasad  Parnaka  Kalyan,Maharashtra,Thane,6135-2205093/2202726,phadkehospital@yahoo.com,Yes
Dr R B Patil Hospital,Vidya Nagar  Hubli,Karnataka,Hubli,0836 - 2378152 / 2228214,basupatil@hotmailmail.com,No
Dr R N Patils Suraj Hospital,Plot No.1&1 A  Sun Palm View Bldg.Opp.Palm Beach Marg  Sector-15  Sanpada  Navi Mumbai,Maharashtra,Navi Mumbai,022 - 27810099 / 4546,hospitalsuraj@gmail.com,Yes
Dr Rabindrans Health Care Centre,No.212  M.T.H Road  Ambattur  Chennai,Tamil Nadu,Chennai,044 - 26574242 / 26570606 / 65474242,drrabindranshealthcare@yahoo.co.in,Yes
Dr Ramesh Cardiac And Multispecialty Hospital,Ring Road  Near I T I College,Andhra Pradesh,Vijayawada,0866 - 2470283 / 24720881 / 2484822,cashless@rameshhospitals.com,No
Dr Ravindra Maternity And General Hospital,638   Model Town,Haryana,Panipat,0180 - 2651331 / 2653800,tkalra2001@yahoo.com,No
Dr S R Ramanagoudar Hospital And Nursing Home,Malapur Cross Dharwad - 8,Karnataka,Dharwad,0836 - 2228236 / 2742245,drramanagoudarmsh@gmail.com,No
Dr Singhs City Hospital And Medical Research Center,Plot No. 32 Sector No 4 Kalamoli,Maharashtra,Mumbai,022 - 27421887 /  27426072,info@cityhospital.net,Yes
Dr Sodhi S Health Care,Phase-3 B-2  Mohali,Punjab,Mohali,0172 - 5094333 / 5535541,drsssodhi@yahoo.com,Yes
Dr Sonagra Medical And Surgical Centre,Shiv Plaza  2nd Floor  Gopal Lane  L B S Road  Opp Telephone Exchange,Maharashtra,Mumbai,22-40734800/25120066,smsc86@gmail.com,Yes
Dr T M A Pai Hospital,Opp. Taluk Office,Karnataka,Udupi,0820 - 2526501 / 2526502,insurance.tmaph@manipal.edu,No
Dr Thammaiah Hospital,# 519/A  Belagunba Road   Kuvempunagar  Tumkur,Karnataka,Tumkur,0816 - 2274174,sandesh_thammaiah@yahoo.com,No
Dr Thiru Neuro And Multi Speciality Hospital,No.46  2nd Agraharam  (Near Pattai Koil Town Bus Stop),Tamil Nadu,Salem,427-2266889,dr.thiruhospital@gmail.com,Yes
Dr U Mohan Rau Memorial Hospital,962 Poonamallee High Road Chennai - 600084,Tamil Nadu,Chennai,044 - 26424396 / 26412474 / 26411621,maheshumrh@yahoo.in,No
Dr V Seshiah And Dr Bala Ji Diabetes Care Hospital,T 29 Poonamallee High Road Aninjikarai,Tamil Nadu,Chennai,44-26641414,drseshiahdrbalaji@gmail.com,No
Dr Vijayakumar Hospital,Swamiyaar Madam   Kattathurai (Po),Tamil Nadu,Marthandan,04651 - 275045 / 275145 / 9842105045,drvijayakumark@gmail.com,No
Dr Ysr Memorial Hospital,#12-2-878  1st Cross   Sai Nagar,Andhra Pradesh,Anantapur,08554 - 232727,ysrhospitals@gmail.com,No
Dr. Joglekar Hospital,At& Post Shirwal Tal Khandala  Dist-Satara,Maharashtra,Shirwal,02169 - 244110 / 244276,vinayshil@rediffmail.com,No
Dr.Jivraj Mehta Smarak Health Foundation,AROGYADHAM NR. AYOJANNAGAR ,Gujarat,Ahmedabad,079 - 6639839 / 843,MEDICLAIM@JIVRAJHEALTHCARE.ORG,Yes
Dreamland Nursing Home,2  Nayratna Lane,West Bengal,Kolkata,25553216/17/3245,dreamlandnursinghome01@gmail.com,Yes
Dsouza Hospital,Opp Ramedi Church School  Vasai (W)  Thane,Maharashtra,Thane,0250 - 2308412  / 2309430/ 9225066222,dsouzahospital@yahoo.co.in,Yes
Dugad Hospital,Adhinath Shopping Centre 1st Floor  Adinath Soc.,Maharashtra,Pune,020 - 24265525,msdugad@gmail.com,No
Durga Hospital,711  Mukherjee Nagar,Delhi,New Delhi,011 - 45104440 / 45104441-7,durgahospital@live.in,Yes
Durga Nursing Home And Rsearch,Vivekandamarg  Balasore  Balasore,Odisha,Balasore,06782 - 2265757,durganursinghome@rediffmail.com,No
Durgabai Deshmkh Hospital And Research Centre,Vidya Nagar  Hyderabad  Vidya Nagar,Telangana,Hyderabad,040 - 27617802,durgabaihospital@gmail.com,Yes
Durgabai Deshmukh General Hospital And Research Centre,# 11 & 12  Dr Durgabai Deshmukh Road  Raja Annamalai Puram,Tamil Nadu,Chennai,044 - 24938311 / 24617611,amsddghrc@gmail.com,No
Durgapur City Hospital And Clinic Pvt Ltd,N-5  4th  75th Street  Doctors Colony  City Centre,West Bengal,Durgapur,0343 - 2545262 / 2546600,me.cityclinic@rediffmail.com,No
Dwarika Sangamnerkar Medical Foundation Colony Nursing Home,50 / 51  Laxmi Park Colony  Navi Peth,Maharashtra,Pune,020 - 24532555 / 4555 / 5555,cnhhospital@gmail.com,Yes
Dwarkesh Hospital,10-11  Shivali Society  L & T Circle  Vip Road  Karelibaug  Vadodara,Gujarat,Vadodara,0265 - 2485376 / 2464999,sejal@dwarkeshhospital.com,No
E S Hospital,No. 32b  Trichy Trunk Road,Tamil Nadu,VILLUPURAM,4146-221100,eshinsurance@gmail.com,No
Eashwar Lakshmi Hospital,Plot No.9  Gandhi Nagar  Hyderabad,Telangana,Hyderabad,040 - 27618442 / 55566665,elh640@gmail.com,Yes
East Coast Hospitals Ltd,90thiruvalluvar Salai  Pillaithottam,,,0413 - 2243160 / 2244587,echpondicherry@gmail.com,No
East Delhi Medical Centre,1/550  Gt Road  Mansarovar Park  Shahdara,Delhi,New Delhi,011 - 22596736 / 22583204,eastdelhi.hospital@yahoo.com,Yes
Eco Hospital,Iii/1  Jessor Roadbarasat  Po-Barasat  Dist-24 Pgs (N)Kolkata,West Bengal,Barasat,033 - 25626/854 / 2548-0111 / 2548-0452,info@ecohospital.in,Yes
Ekbalpur Nursing Home P Ltd,9  Ibrahim Road  Kolkotta-700023,West Bengal,Kolkata,033- 30910909 / 24490455/ 24494514/ 24495151/ 2449,enhpvt@gmail.com,Yes
Elite Multi Speciality Hospital,10-14-57616 Reddy And Reddy Colony,Andhra Pradesh,Tirupati,7799810077 / 08772251000,elitehospitals@gmail.com,No
Emc Superspeciality Hospital,Green Avenue,Punjab,Amritsar,0183 - 2506053 / 9815133622,emchelpline@gmail.com,Yes
Emergency Medical Care Hospital,Shakti Nagar  Inside Lahori Gate  Shakti Nagar,Punjab,Amritsar,0183 - 2549300 / 2549400 / 6535806,emchelpline@gmail.com,Yes
Escorts Heart Institue And Research Centre,Okhla Road  New Delhi,Delhi,New Delhi,011 - 26825000,TPADESK.EHIRC@FORTISHEALTHCARE.COM,Yes
Eskag Sanjeevani Pvt Ltd,P-48  Kshirod Vidyavinod Avenue  Baghbazar Near Girish Mancha,West Bengal,Kolkata,033 - 25545252 / 1818,tpa.eskagsanjeevani@gmail.com,Yes
Essential Hospital,No. 42 7th Block 2nd Stage Nagarbhavi Ring Road,Karnataka,Bengaluru,80-23210409/ 23210410,essentialhospital7@gmail.com,No
Essvee Hospital,No.506  M .T. H. Road  Ambattur,Tamil Nadu,Chennai,044 - 26580181 / 26583940,sv_hospital@yahoo.co.in,Yes
Eswar Medical Foundation,No.1  Bharathy Nagar  Redhills Road  Anna Sillai Bus Stop  Kolathur,Tamil Nadu,Chennai,044-26710351,emf_ins@eswarhospitals.com,Yes
Eswari Nursing Home,No. 1/255  Tenth Street  S R P Colony,Tamil Nadu,Chennai,044 - 25508343 / 25508048,eswarinh@yahoo.com,Yes
Eternal Heart Care Centre And Research Institute,3 A  Jagatpura Road  Near Jawahar Circle  Jaipur,Rajasthan,Jaipur,5174000/18001213422,domesticmarketing@eternalheart.org,Yes
Eternity Hospital,914. Niti Khand-1  Opp. Orange County  Indirapuram,Uttar Pradesh,Ghaziabad,120-4558400,care@hospitaleternity.com,No
Eves Hospital,Eves Crossing  Hapur Road  Meerut,Uttar Pradesh,Meerut,0121 - 2525667 / 2420660 / 9897042842,eveshospital@gmail.com,No
Excelcare Hospital,3/2  27th Cross  Industrial Layout  Banshankari 2nd Stage,Karnataka,Bengaluru,80-26715818/28/38/48,ins.excelcare@gmail.com,Yes
Eye Foundation Ltd,79/5  Outer Ring Road  Bellandur,Karnataka,Bengaluru,080-49422000,bengaluru@theeyefoundation.com,Yes
Ezhil Hospital,183  T.H. Road  Tondiarpet,Tamil Nadu,Chennai,044 - 25916556/ 25916868,ezhil6669@bsnl.in,Yes
Family Hospital,Wz-264   New Sakibpura  Opp Crpf Camp   Tilak Nagar,Delhi,New Delhi,011 - 28331885,contactus.famiilyhospital@gmail.com,No
Family Hospital Pvt Ltd,No. 423/2  60 Feet Road  1st Main  1st Stage  1st Phase Behind Sbm Gokula,Karnataka,Bengaluru,2337884/885/888,insurance.familyhospital@gmail.com,Yes
Father Muller Medical College And Hospital,Father Muller Road Kankanady,Karnataka,Mangalore,0824 - 2436301 / 2436303 / 2436302,mullercredit@gmail.com,No
Fathima Hospital,Bank Road  Calicut-673001 Kerala State,Kerala,Calicut,0495 - 2766904 / 2766630 / 2765520,pro@fathimahospital.com,No
Fatima Mata Mission Hospital,Kalpetta Po  Wayanad Dt,Kerala,Kalpetta,04936 - 202413 / 204018,fmmhmc@gmail.com,No
Fernandez Hospital Pvt Ltd,4-1-1230  Bogulkunta  Opp Ywca  Abids  Hyderabad,Telangana,Hyderabad,40-40222300,insurance.bg@fernandezhospital.com,No
Fernandiz Hospital,Ho.No. 3-6-282 Opp. Old Mla Quarters  Hyderguda,Telangana,Hyderabad,040 - 40632300,insurance.hg@fernandezhospital.com,No
Forrd Hospital,1/2 Vikas Khand  Gomti Nagar,Uttar Pradesh,Lucknow,0522 - 2300024 / 8,forrdhospital@gmail.com,No
Fortis C-Doc Healthcare Ltd,B-16  Chirag Enclave Opp. Nehru Place,Delhi,New Delhi,11-49101222,fortisc-docdiabetes@gmail.com,Yes
Fortis Escort Hospital,Jawahar Lal Nehru Marg   Malviya Nagar,Rajasthan,Jaipur,0141 - 2547000,CONTACTUS.JAIPUR@FORTISHEALTHCARE.COM,Yes
Fortis Escorts Hospital,Escorts Hospital & Research Centre Ltd  Near Neelam Bata Flyover  Nit  Faridabad,Haryana,Faridabad,129-2466182/2466183/2466192,insurance.fbd@fortishealthcare.com,Yes
Fortis Flt Lt Rajan Dhall Hospital,Sector B  Pocket I  Aruna Asaf Ali Marg  Vasant Kunj,Delhi,New Delhi,011 - 42776222,tpa.vk@fortishealthcare.com,Yes
Fortis Health Care Limited,Sector-62  SAS Nagar (Sahibzada Ajit Singh Nagar)  phase-VIII  Mohali,Punjab,Mohali,0172 - 4692222 / 5021222,tpahelpdesk.mohali@fortishealthcare.com,Yes
Fortis Hospital,Kangra  Dharamshala Road ,Himachal Pradesh,Kangra,1892-260150,contactus.kangra@fortishealthcare.com,No
Fortis Hospital,A-Block Shalimar Bagh,Delhi,New Delhi,011 - 46302222,tpa.sb@fortishealthcare.com,Yes
Fortis Hospital,Fortis Hospital P Ltd  B-22 Sector-62 Noida Up,Uttar Pradesh,Noida,0120 - 2400222,fhn-tpa@fortishealthcare.com,Yes
Fortis Hospital Limited,730 Anandpur Em Bypass Road,West Bengal,Kolkata,033 - 66284444,insurance.kolanp@fortishealthcare.com,Yes
Fortis Hospital Ltd,6 Km From Sanrola Chowki  Chandigrah Road,Punjab,Ludhiana,0161-5222333,tpadesk.ludhiana@fortishealthcare.com,Yes
"Fortis Hospitals Limited, Amritsar",Majitha -Verka By Pass Road,Punjab,Amritsar,0183 - 3012222 / 6662222 / 9915133330,TPAFEHASR@FORTISHEALTHCARE.COM,Yes
Fortis Hospitals Ltd,# 111-A  Rashbehari Avenue,West Bengal,Kolkata,033 - 24633316-20,fhki.tpa@fortishealthcare.com,Yes
Fortis Hospitals Ltd,No 154 / 9  Bilekahalli  Bannerghatta Road,Karnataka,Bengaluru,080 - 55214444  / 22544444,fortisbgdesk@gmail.com,Yes
Fortis Hospitals Ltd,# 14   Cunnigham Road,Karnataka,Bengaluru,080 - 41994444,fortishospital.tpa@gmail.com,Yes
Fortis Hospitals Ltd,Bail Bazar  Shill Road  Kalyan West  Thane,Maharashtra,Mumbai,2512371239,Kln.tpainfo@fortishealthcare.com,Yes
Fortis Hospitals Ltd,# 23  80 Feet Road  Gurukrupa Layout  2nd Stage Nagarbhavi  Near Nagarbhavi Circle,Karnataka,Bengaluru,080 - 23014444 / 64514444,care.bng@fortishospitals.in,Yes
Fortis Hospitals Ltd,Mulund-Goregaon Link Road,Maharashtra,Mumbai,9152316608,tpa.mulund@fortishealthcare.com,Yes
Fortis La Femme,S-549  Greater Kailash 2  New Delhi - 110048,Delhi,New Delhi,011 - 51045104,TPA.FLF@FORTISHEALTHCARE.COM,No
Fortis Malar Hospitals Limited,52 1st Main Road Gandhi Nagar  Adyar  Chennai.,Tamil Nadu,Chennai,044 - 24914023 / 4212 / 42892222,insurancedesk@fortishealthcare.com,Yes
Fortis Memorial Research Institute,Sector-44  Opp. Huda City Centre Metro Station,Haryana,Gurgaon,124-4386666,tpa.fmri@fortishealthcare.com,Yes
Fousiya Hospital,# 56  Dr Natesan Road  Triplicane,Tamil Nadu,Chennai,044 - 28446033,fousiyahospital@gmail.com,No
Fr L M Pinto Health Centre Charitable Trust,BADYAR  PADANGADY POST  BELTHANGADY TALUK,Karnataka,Belthangadi,278245,LMPINTOBADYAR@GMAIL.COM,No
G R Hospital,30  Souripalayam Road  Udayampalayam,Tamil Nadu,Coimbatore,0422 - 2315717 / 2317012 / 2316971,grhospital.ramanathan@gmail.com,No
Gajanan Hospitals Private Ltd,No.29  Kakkan Street  West Tambaram,Tamil Nadu,Chennai,044 - 22266550 / 22266649 / 22266115 / 22264118,aghospital79@gmail.com,Yes
Galaxy Hospitals,# 110 E/120/1  North By-Pass Road  Vannarpet  # 110 E/120/1  North By-Pass Road  Vannarpet,Tamil Nadu,Thirunelveli,0462 - 25011951 / 52 / 53 / 54,galaxy.hospitals@gmail.com,No
Ganadhipati Purushottam Shekhawati Hospital And Research Centre,A/2  Opp Time Square Central Spine   Vidhyadhar Nagar,Rajasthan,Jaipur,0141 - 2232211 / 2232194,shekhawaticashless@gmail.com,Yes
Gandhi Hospital,Near Kohinoor Technical Institute  Panvel,Maharashtra,Navi Mumbai,022 - 27465023 / 55902452,ph_gandhi1964@yahoo.com,Yes
Gandhi Hospital,C-50 & 51  Om Vihar  Uttam Nagar,Delhi,New Delhi,011 - 25335135 / 25335099,gnhome.2010@gmail.com,Yes
Gandhi Hospital,Aryan Centre  2nd Floor  Above Uti Bank Solapur Road  Hadapsar,Maharashtra,Pune,020 - 26874856,gandhihospitalpune28@gmail.com,No
Gandhi Nursing Home,Sector 24 Nigdi  Pradhikaran Pune - 411004,Maharashtra,Pune,020 - 7655581,dr.nkgandhi@gmail.com,No
Ganesamoni Nursing Home,6  Saraloor  Hindu College Road,Tamil Nadu,Nagarcoil,04652 - 225392,dr.ganesamoni@gmail.com,No
Ganesh Hospital,Iind-C/3  Nehru Nagar  Ghaziabad,Uttar Pradesh,Ghaziabad,0120 - 4183900 / 2792810-11,sunil.ganeshhospital@yahoo.in,Yes
Ganesh Ortho Trauma And Medical Centre,F-15/7  Krishna Nagar Near Bses Office,Delhi,New Delhi,011-43146100,ganeshorth@gmail.com,Yes
Ganga Jamna Hospital,Opp. Golden Silver Apartment  Vadodara,Gujarat,Vadodara,0265 - 2395117 / 2395009,gangajamna2000@hotmail.com,No
Gangasheel Advanced Medical Research Institute,C-17  Deen Dayal Puram  Behind Stadium,Uttar Pradesh,Bareilly,0581 - 2302017 / 2302018,gangasheelhospital@gmail.com,No
Gangothri Hospital,# 27  Kuvempunagar  100ft Ring Road  Bangalore,Karnataka,Bengaluru,080 - 26682734,gangotrihospital@gmail.com,Yes
Garden City Hospital,132/18 22nd Cross 3rd Block Jayanagar Bangalore,Karnataka,Bengaluru,080 -  26646202 / 26632838,gardencity_hospital81@yahoo.com,No
Garden View Nursing Home,Tuling Road  Tuling  Nallasopara(E)  Thane-09,Maharashtra,Mumbai,9890138980,gvnhpl.geeta@gmail.com,Yes
Garg Hospital,8-9   A.G.C.R Enclave  Delhi,Delhi,New Delhi,011 - 22372249 / 22377856,gaeg.hospital@yahoo.com,No
Gargi Hospital,R-9/182  Raj Nagar,Uttar Pradesh,Ghaziabad,0120 - 2828922 / 2829922,gargihospitalgzb@gmail.com,Yes
Gastro Care Hospital,C-57  11th Cross  Thillai Nagar,Tamil Nadu,Trichy,0431 - 2741666 / 4023444,gastroclaim@gmail.com,No
Gautham Hospital,Panayappilly  Cochin  Kerala-682005,Kerala,Ernakulam-Cochin,0484 - 2210510 /2210512 /4043456 /4043457,gauthamhospital70@gmail.com,No
Gayathri Hospital Pvt Ltd,# 91 Magadi Chord Road Vijayanagar,Karnataka,Bengaluru,080 - 23352085 / 23355201,gayathri.hospital@gmail.com,Yes
Gbh American Hospital,101  Kothi Bagh  Bhatt Ji Ki Bari   Udaipur,Rajasthan,Udaipur,0294 - 2426000 / 2428701,jiteshkanu@yahoo.co.in,No
Gbr Super Speciality Hospital,Opp. Reddy College Palnadu Road Narasaraopet,Andhra Pradesh,Guntur,8647-222771,gbrhospital@gmail.com,No
Gd Hospital And Diabetes Institute,139a  Lenin Sarani,West Bengal,Kolkata,033 - 22255030 / 31 / 32 / 33,tpa@gddihealthcare.com,Yes
Geetha Maternity And Nursing Home,Road No 4  West Maradpally  Secunderabad,Telangana,Hyderabad,040 - 27802138 / 27800703 / 27801272,insurance.geethahospitals@gmail.com,Yes
Genesis Hospital,C-1/130  Janak Puri  New Delhi,Delhi,New Delhi,011 - 45259900 / 45259999,tpa.genesishospital@gmail.com,Yes
Genesis Hospital,1470  Rajdanga Main Road,West Bengal,Kolkata,033 - 24424242,genesis1470@gmail.com,Yes
Getwell Hospital,Opp. Power House  Mohindergarh,Haryana,Narnaul,01282 - 320310 / 256307,getwellhospital@ymail.com,No
Getwell Hospital And Research Institute,20/1 Dr.Khare Marg Dhantoli Nagpur,Maharashtra,Nagpur,0712 - 6632200,admin@getwellhospitals.com,No
Ghai Hospital,Plot No-29 Sector-9 Faridabad,Haryana,Faridabad,0129 - 4083481 / 82 / 2283522 / 2288698,ghaihospitalfbd@yahoo.co.in,Yes
Gillurkar Multispeciality Hospital,20  Reshimbag  Umred Road  Nagpur-440008,Maharashtra,Nagpur,0712 - 2704664,cgillurkar@yahoo.com,No
Girishwari Hospital,#19  Kbdhasan Road  Alwarpet,Tamil Nadu,Chennai,044 - 24341780 / 90 / 24330069,girishwarihospital@gmail.com,Yes
Gitanjali Medical Centre Pvt Ltd,Opp To Bishop Heber  College Road  Vayalur Road  Trichy,Tamil Nadu,Trichy,0431-2776600,rengasamya@yahoo.com,No
Gkm Hospitals Pvt Ltd,120/113  Perambur Barracks Road  Purasawalkam   Chennai,Tamil Nadu,Chennai,044 - 25324444 / 43903333,gkmhospital@gmail.com,No
Global Heart And General Hospital,C-1/27  Opp.Bharat Apartment  Near Gandhi Path Chitrakoot  Ajmer Road  Jaipur,Rajasthan,Jaipur,0141 - 2440629,dinesh.globalhr@gmail.com,Yes
Global Hospital,35  Dr. E Borges Road  Hospital Avenue  Opp. Shirodkar High School  Parel,Maharashtra,Mumbai,022 - 67670107 / 67670101,tpacorporate.mumbai@globalhospitalsindia.com,Yes
Global Hospital,439  Cheran Nagar   Perumbakkam,Tamil Nadu,Chennai,044 - 22777000 / 9445008020,insglobalhospital@gmail.com,Yes
Global Hospital And Research Institute,577/2  Near Dattawadi Police Chowky  Off. Sinhgad Road  Dattawadi  Pune,Maharashtra,Pune,2066846684/2024522452/8975599000,tpa@globalhospitalpune.com,Yes
Global Hospitals (Gleneagles Global),6-1-1070/1 To 4 Lakdi Ka Pool Hyderabad-4,Telangana,Hyderabad,040 - 23244444,chalichamvenky@yahoo.com,Yes
Global Medical Centre,Mg Road  Near Police Control Room  Vijaywada,Andhra Pradesh,Vijayawada,0866 - 2578854,globalhospital2010@gmail.com,No
Global Speciality Hospital,Opp.Akashwani  Behind Sita Manor,Madhya Pradesh,Gwalior,751-2433710,globalshospital@gmail.com,No
Godrej Memorial Hospital (No cashless for PSUs),Pirojshanagar  Vikhroli (E)  Mumbai,Maharashtra,Mumbai,022 - 66417100 / 66417052,billing@godrejhospital.com,Yes
Gokul Venkateshwara Multispeciality Hospital,Sanjeevanagar  Sangareddy  Medak,Telangana,Medak,08455 - 276622 / 7416474245,gokulhospital2012@gmail.com,No
Golden Park Hospital,Behind Parvati Theatre  Sai Nagar  Navghar  Vasai,Maharashtra,Thane,0250 - 3254535,goldenparkhosp@ymail.com,Yes
Good Health New Central Hospital,Dawaranagar Ii Nd Lane   Vishkapatnam  Dawarkanagar,Andhra Pradesh,Visakhapatnam,0891 - 2754992,dr.venkat03@yahoo.com,No
Goodwill Kidney And Surgical Centre,10-5-13/2/A  Masab Tank,Telangana,Hyderabad,040 - 23314561,goodwillhospitals@gmail.com,Yes
Gopala Gowda Shanthaveri Memorial Hospital,T Narasipura Road  Nazarbad,Karnataka,Mysore,0821 - 4001600 / 9986287757,farhaanshariff@gmail.com,No
Gopi Krishna Hopsital,General Ganj  Mathura,Uttar Pradesh,Mathura,0565 - 2550450 / 2410011 / 2550804,drdpgoyal@yahoo.com,No
Gowri Gopal Hospital Pvt Ltd,46-87  Budhawarpeta  Kurnool  Budhawarpeta,Andhra Pradesh,Kurnool,08518 - 255499 / 255689,gghospitalknl@rediffmail.com,No
Gowri Nursing Home,No.18  6th Street  Lakshmi Nagar  Nanganallur  Chennai,Tamil Nadu,Chennai,044 - 22240777,gnh18@hotmail.com,No
Goyal Hospital And Research Centre Pvt Ltd,961/3  Residency Road,Rajasthan,Jodhpur,0291 - 2432144,anandsgoyal@sify.com,No
Goyal Hospital And Urology Centre,E - 4/8  Lajpat Rai Chowk  Krishna Nagar,Delhi,New Delhi,011 - 22091341 / 22095751 / 22091851,drgoyalhospital@gmail.com,Yes
Greater Kailash Hospital,11/2  Old Palasia   Indore,Madhya Pradesh,Indore,0731 - 4051160 / 65,mediclaim@gkh.co.in,Yes
Green City Hospital,Nh-17  Delta-I  Gautam Budh Nagar  Opp. Wipro India Ltd,Uttar Pradesh,Noida,0120 - 2320260-61,info@gch.co.in,Yes
Green View Clinic,231/1 Rbc Rd.Po.Naihati  24 Pgs (N),West Bengal,NAIHATI,033 - 25812429 / 2344,DRADHIKARY@HOTMAIL.COM,No
Greenview Medical Centre,20 & 21  14th Main  HSR Layout,Karnataka,Bengaluru,080 - 25634563 / 25500552 / 65347777,tpa@gvhcol.com,No
Guest Hospital,782 Poonamallee Road  Kilpauk  Chennai,Tamil Nadu,Chennai,044 - 26413420 / 26411656,insurance@guesthospital.com,No
Gunam Super Speciality Hospital,Opp. Govt Hospital  Denkanikottai Road  Hosur  Krishnagiri,Tamil Nadu,Hosur,4344-220599/220199,insurance@gunamhospital.com,No
Gunasekaran Hospitals Pvt Ltd,No. 1  Crescent Park St  T Nagar,Tamil Nadu,Chennai,044 - 24341055 / 24322591,gunasek.1982@gmail.com,Yes
Gunasundari Bose Hospitals,46  C.M.R Road  Madurai,Tamil Nadu,Madurai,0452 - 2337344 / 2337345,boseclin@yahoo.in,No
Gupta Nursing Home,160.Sec 16 A  Faridabad,Haryana,Faridabad,0129 - 2288252,suresh_brij@yahoo.com,Yes
Gurjar Hospital And Endoscopy Center Pvt.Ltd (Cashless Only For Pvt Insurers),Plot No. 2-3  Scheme No. 44-B ,Madhya Pradesh,Indore,4095460,GURJARHOSPITAL@YAHOO.COM,No
Guru Nanak Hospital,S - 341  Gandhinagar  Bandra (E),Maharashtra,Mumbai,022 - 42227777,gurunanak.hospital1@gmail.com,No
Guru Nanak Hospital,Gurudwara Sri Nanak Saheb,Karnataka,Bidar,08482 - 228247 / 222424,gurunanakhospitalb@gmail.com,No
Gurunanak Care Hospital,1-4-908/7/1  Musheerabad Main Road  Musheerabad  Musheerabad,Telangana,Hyderabad,040 - 30219000,billingmsrd@carehospitals.com,Yes
Gurushree Hi-Tec Multi Speciality Hospital,# 1558  Opp-Chandra Lay Out Bus Stand  Chandra Lay Out  Vijayanagar,Karnataka,Bengaluru,080 - 23392641,info@gurushreehospital.com,Yes
H K Hospital,# 106/2  Bangalore Mysore Road  Near Rainbow Bridge  Kengeri,Karnataka,Bengaluru,080 22718534,hkhospital@gmail.com,Yes
H L G Memorial Charitable Hosp And Res Inst,Housing More Sen Raleigh Road   Asansol  Asansol,West Bengal,Asansol,0341 - 2251510 / 2256611 / 8348689036,tpa@hlghospital.com,No
Hajela Hospital,Geetanjali Complex  Kotra  Sulthanabad  Near Mata Mandir,Madhya Pradesh,Bhopal,0755 - 2773392 / 2773393,hajelahospital@ymail.com,No
Handa Nursing Home,57  Raja Garden  New Delhi - 110015,Delhi,New Delhi,011 - 45606000 / 25162299 / 25433342 / 25415726 /,handanursinghome@gmail.com,Yes
Hande Hospital,45  Lakshmi Talkies Road  Shenoy Nagar  Shenoy Nagar,Tamil Nadu,Chennai,044 - 30584002 /3 / 30584009,handehospital@gmail.com,Yes
Hanumant Hospital,Nesvad Devalia Bypass Highway  Nh-8/E  Mahuva Bhavnagar District,Gujarat,Mahuva,02844 - 224444 / 247088 / 9428442055-66,office@hanumanthospital.com,No
